circuit_width,circuit_depth,u1,u2,u3,cx,hamming_weight,25_observed_state_prob,50_observed_state_prob,75_observed_state_prob,25_frc_state_error,50_frc_state_error,75_frc_state_error,25_frc_program_error,50_frc_program_error,75_frc_program_error,true_probability,state_name
1,3,1,0,2,0,0,10.0,12.5,15.0,14.000000000000002,17.000000000000004,18.999999999999993,14.000000000000002,17.000000000000004,18.999999999999996,6.0,0
1,3,1,0,2,0,1,85.0,87.5,90.0,14.000000000000002,17.0,19.0,14.000000000000002,17.000000000000004,18.999999999999996,94.0,1
5,5,5,2,2,8,0,15.75,19.0,22.0,93.0,94.0,95.24999999999999,93.00000000000001,94.00000000000001,95.25000000000003,8.0,00000
5,5,5,2,2,8,1,23.0,26.0,28.999999999999996,1.0,1.0,2.0,93.00000000000001,94.00000000000001,95.25000000000003,12.0,00001
5,5,5,2,2,8,1,0.0,1.0,2.0,2.0,3.0,4.0,93.00000000000001,94.00000000000001,95.25000000000003,0.0,00010
5,5,5,2,2,8,2,0.0,1.0,2.0,0.0,0.0,1.0,93.00000000000001,94.00000000000001,95.25000000000003,0.0,00011
5,5,5,2,2,8,1,6.0,8.0,9.0,3.75,5.0,7.000000000000001,93.00000000000001,94.00000000000001,95.25000000000003,18.0,00100
5,5,5,2,2,8,2,8.0,11.0,13.0,0.0,1.0,2.0,93.00000000000001,94.00000000000001,95.25000000000003,23.0,00101
5,5,5,2,2,8,2,0.0,0.0,1.0,1.7500000000000002,2.0,4.0,93.00000000000001,94.00000000000001,95.25000000000003,0.0,00110
5,5,5,2,2,8,3,0.0,0.0,1.0,0.0,0.0,1.0,93.00000000000001,94.00000000000001,95.25000000000003,0.0,00111
5,5,5,2,2,8,1,0.0,0.0,1.0,1.0,1.0,2.0,93.00000000000001,94.00000000000001,95.25000000000003,0.0,01000
5,5,5,2,2,8,2,0.0,0.0,1.0,7.000000000000001,9.0,11.0,93.00000000000001,94.00000000000001,95.25000000000003,0.0,01001
5,5,5,2,2,8,2,0.0,0.0,0.0,0.0,0.0,1.0,93.00000000000001,94.00000000000001,95.25000000000003,0.0,01010
5,5,5,2,2,8,3,0.0,0.0,0.0,0.0,1.0,1.0,93.00000000000001,94.00000000000001,95.25000000000003,0.0,01011
